UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,mean_meanOutageDuration_wi_BF,std_meanOutageDuration_wi_BF,median_meanOutageDuration_wi_BF,mean_outageProbability_wi_BF,std_outageProbability_wi_BF,median_outageProbability_wi_BF
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.139383009651673,0.180642053199554,0.07,0.00980040178037851,0.0212943721719861,0.0001166666666667,0.0370973341952275,0.0341023460735276,0.07,0.000116667072222464,4.94090721581553e-10,0.0001166666666667,0.0370973341952275,0.0341023460735276,0.07,0.000116667072222464,4.94090721581553e-10,0.0001166666666667
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.116243567966849,0.144859066498116,0.07,0.00841763795563741,0.0211023221358296,0.0001166666666667,0.0384688340686752,0.0337583661088336,0.07,0.000138440674199336,0.00018981798142079,0.0001166666666667,0.0384688340686752,0.0337583661088336,0.07,0.000138440674199336,0.00018981798142079,0.0001166666666667
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.337005135579344,0.258453241351809,0.468518318987557,0.0404319590422145,0.0441170207400681,0.0245459657617294,0.0264469171982494,0.0332009656205395,0.00144346217475115,0.000151344823672428,0.000339767828253656,0.0001166674916672,0.0264469171982494,0.0332009656205395,0.00144346217475115,0.000151344823672428,0.000339767828253656,0.0001166674916672
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.231613352419273,0.248601993112672,0.07,0.0266630998175588,0.0383300479786038,0.0059500011666675,0.0242782503052168,0.0324382028463451,0.0014893714893674,0.000116667397985785,6.28730391818398e-10,0.0001166674333338,0.0242782503052168,0.0324382028463451,0.0014893714893674,0.000116667397985785,6.28730391818398e-10,0.0001166674333338
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.231081807778158,0.239131540290106,0.07,0.0222723777312662,0.0309411171555313,0.0047136327546927,0.0228782451910965,0.0317826207256486,0.00160941780391625,0.00011666730773846,5.40287818691972e-10,0.0001166673750003,0.0228782451910965,0.0317826207256486,0.00160941780391625,0.00011666730773846,5.40287818691972e-10,0.0001166673750003
4,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.152035026967057,0.195901295719498,0.07,0.012248208322802,0.0229314048337202,0.00411243824894395,0.0220255194621759,0.0310815806947932,0.0020588332353008,0.000116667237500332,4.8968743029724e-10,0.00011666721666705,0.0220255194621759,0.0310815806947932,0.0020588332353008,0.000116667237500332,4.8968743029724e-10,0.00011666721666705
5,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.298077280995991,0.251438574484296,0.0846724009052852,0.0323232534753699,0.0429188280074774,0.0063719249044362,0.0289204983836404,0.0334821823447402,0.00264245976496155,0.00011666732395872,7.26454633196146e-10,0.00011666709166685,0.0289204983836404,0.0334821823447402,0.00264245976496155,0.00011666732395872,7.26454633196146e-10,0.00011666709166685
5,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.231039764001655,0.240148754107842,0.07,0.0240390277622816,0.0366331468998279,0.0052000010166672,0.0284397942349032,0.033274725879699,0.0018919016216263,0.000145159633835593,0.000271799727341862,0.0001166673000003,0.0284397942349032,0.033274725879699,0.0018919016216263,0.000145159633835593,0.000271799727341862,0.0001166673000003
5,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.177375761967916,0.215078077872355,0.07,0.0131246720440838,0.0252026606160635,0.00253226202327605,0.030045936402828,0.0333930319364922,0.00318841534162195,0.000116667138889167,5.27194714862635e-10,0.0001166670166669,0.030045936402828,0.0333930319364922,0.00318841534162195,0.000116667138889167,5.27194714862635e-10,0.0001166670166669
5,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.135544312897576,0.174602280558291,0.07,0.01060087418409,0.0213665452295162,0.0033541198887852,0.0289590672235424,0.0329812427195178,0.0028044967788513,0.000117763672588017,9.55898528004795e-06,0.00011666712500025,0.0289590672235424,0.0329812427195178,0.0028044967788513,0.000117763672588017,9.55898528004795e-06,0.00011666712500025
6,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.282123286889525,0.255491746980401,0.0747019154812917,0.0311772389189968,0.0421799495553415,0.0062567138616616,0.0280335665446666,0.0334394088310921,0.00229570859677965,0.000116667314757328,6.69568047921795e-10,0.0001166671583336,0.0280335665446666,0.0334394088310921,0.00229570859677965,0.000116667314757328,6.69568047921795e-10,0.0001166671583336
6,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.240648139694568,0.245274110528176,0.07,0.0233239186872373,0.0340347513075292,0.0035333340166671,0.0290206482723258,0.0334499923961888,0.0025000096428615,0.000116667252381297,6.05043803105902e-10,0.0001166671166669,0.0290206482723258,0.0334499923961888,0.0025000096428615,0.000116667252381297,6.05043803105902e-10,0.0001166671166669
6,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.155990654957055,0.194021083819871,0.07,0.0137671170617494,0.0258058670911269,0.0025473015018429,0.0320961003135102,0.033535473437882,0.00403847096154455,0.000116667206151115,5.91980298112128e-10,0.0001166669750002,0.0320961003135102,0.033535473437882,0.00403847096154455,0.000116667206151115,5.91980298112128e-10,0.0001166669750002
