UEIdx,numBS,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,GroupCount,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.238386453176605,0.238386453176605,0.634140721814571,0.261583047748511,1,0.453454507732667,0,0.187049984439725,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.243790389377512,0.243790389377512,0.659047977361559,0.265632948653228,1,0.606922693820484,0,0.244623563537089,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.259032454030027,0.259032454030027,0.689979998697638,0.306082793866702,1,0.689979998697638,0,0.306082793866702,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.265531164882207,0.265531164882207,0.685267040594475,0.303040313507335,1,0.356409175817768,0,0.157612057750524,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.267457832785154,0.267457832785154,0.668289434696767,0.302215333246205,1,0.668289434696767,0,0.302215333246205,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.279626795710537,0,0.689520513561811,0.328096844369829,1,0.0178145047239982,0,0.0084767351645025,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.0385379465517694,0,0.561981150702242,0.0376215159220112,1,0.000290466389966,0,1.94451111061e-05,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.05803395781709,0,0.605099743231565,0.0598376412751214,1,0.0001966391853185,0,1.94454305482e-05,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.1843528838524,0.1843528838524,0.636926432673912,0.200454902283206,1,0.599778059862491,0,0.188763483840056,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.188766711964839,0.188766711964839,0.652383279674435,0.205138297942072,1,0.331573091296174,0,0.104261316485352,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.190507816263736,0.190507816263736,0.671260771106553,0.217973289284322,1,0.349170590459196,0,0.113383450068556,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.199722285036942,0.199722285036942,0.669325759127786,0.226455215171567,1,0.668970702895843,0,0.226335087813094,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.207927994008926,0.207927994008926,0.679685264411225,0.23090418843748,1,0.679164122743001,0,0.230727145031858,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.208020973149818,0.208020973149818,0.64854820483913,0.232396440067355,1,0.590279901597137,0,0.211516964738974,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.228077050008051,0.228077050008051,0.68704006886748,0.264701270977554,1,0.68704006886748,0,0.264701270977554,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.229093195615815,0.229093195615815,0.639022983826738,0.240343644472612,1,0.639022983826738,0,0.240343644472612,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.230162087189623,0.230162087189623,0.650284448824996,0.256139819009401,1,0.50341550097172,0,0.198289772327194,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.242573685416487,0.242573685416487,0.646827864235325,0.265558773149947,1,0.459544359990416,0,0.188668490018288,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.248070445195016,0.248070445195016,0.674839539959422,0.269560905128236,1,0.610155901496231,0,0.243723385097661,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.263573661203813,0.263573661203813,0.704129255966083,0.310403647005048,1,0.704129255966083,0,0.310403647005048,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.270183410962099,0.270183410962099,0.697166921233205,0.307334417776971,1,0.391109208073288,0,0.172413975892308,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.272142962119629,0.272142962119629,0.680527668372151,0.306615521694341,1,0.680527668372151,0,0.306615521694341,0
1,1,4000,0.05,0,0.02,0,0,0,100000000,0.28451922349184,0,0.70496913248087,0.332706265579166,1,0.0167333860055335,0,0.007897228562056,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.0405564269746595,0,0.59349433776953,0.0395662891846353,1,0.0004166766249243,0,2.77784416616e-05,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.0610656814618861,0,0.634601850400855,0.0625787935811954,1,0.000281700112601,0,2.77787611037e-05,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.193796708353093,0.193796708353093,0.672694472765125,0.209282724860261,1,0.628407271566056,0,0.195504484487217,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.198429048470443,0.198429048470443,0.687404807954272,0.213859273585774,1,0.359543402423336,0,0.111857947420593,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.200256231212995,0.200256231212995,0.709185951262534,0.227136500501584,1,0.386449332097882,0,0.123771133308016,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.209925133373401,0.209925133373401,0.706964221847045,0.235851119566195,1,0.706964221847045,0,0.235851119566195,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.218533907203207,0.218533907203207,0.71326393536682,0.240528449315366,1,0.71326393536682,0,0.240528449315366,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.218631444581896,0.218631444581896,0.686984180610345,0.242352752604205,1,0.630638103957221,0,0.22247510889602,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.239665950779255,0.239665950779255,0.721192818137763,0.275455590260951,1,0.721192818137763,0,0.275455590260951,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.240731408226882,0.240731408226882,0.67950369635508,0.250850114571084,1,0.67950369635508,0,0.250850114571084,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.241852143547203,0.241852143547203,0.681959308170837,0.267100729033578,1,0.527308707724366,0,0.20652924385871,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.254863615546175,0.254863615546175,0.682166455016586,0.277035377009514,1,0.504492215648745,0,0.204879894244018,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.260624770898555,0.260624770898555,0.717556139852154,0.280644179142176,1,0.657707926880853,0,0.257236878068956,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.276869329309065,0.276869329309065,0.748430516100685,0.322656711385629,1,0.748430516100685,0,0.322656711385629,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.283793126421823,0.283793126421823,0.735708280546757,0.319828738626576,1,0.400532966226556,0,0.174120581151267,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.285845542588755,0.285845542588755,0.720581644687271,0.319257700910055,1,0.720581644687271,0,0.319257700910055,0
1,1,4000,0.05,0,0.05,0,0,0,100000000,0.298805744296338,0,0.747832688956705,0.345872618642476,1,0.0188912758216404,0,0.0087372150675087,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0179302555630875,0,0.12689374961831,0.0424036613307853,1,0.0236697129787446,0,0.0079096290870638,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0275028745232761,0.027502874523276,0.113546152709105,0.049487198222385,1,0.113546152709105,0,0.049487198222385,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0297915543193882,0.0297915543193882,0.0899482976599326,0.0321065451369482,1,0.0899171692552631,0,0.0320954340258369,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0339594446380464,0.0339594446380463,0.155909008246104,0.0671707977193633,1,0.142755910928378,0,0.0615040049583095,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0348910407371516,0.0348910407371517,0.0878432786669343,0.0301595256756475,1,0.0630492843950133,0,0.0216469209756212,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0367801527984807,0,0.0920646205361126,0.0292816640316247,1,0.013019515051234,0,0.0041409290926842,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0428979249181114,0,0.104991057193253,0.0435421245526464,1,2.68016878048e-05,0,1.11152555257e-05,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.047010187119555,0.0470101871195551,0.104416323323637,0.0446959872893681,1,0.102913692341491,0,0.0440527777495106,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0476085868181998,0.0476085868181998,0.114102951051219,0.0487156210460345,1,0.114096444870348,0,0.0487128432682567,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0487212442169427,0.0487212442169427,0.121790194201111,0.0552453853140038,1,0.0848396177364027,0,0.0384841932676515,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0509933794581022,0.0509933794581022,0.18973135017349,0.0855372170365484,1,0.0818822745509819,0,0.0369152587767343,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0518174078266122,0.0518174078266123,0.160635213675019,0.0825932723645724,1,0.160635213675019,0,0.0825932723645724,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0519320362231702,0.0519320362231702,0.148972039619451,0.0864451641013981,1,0.148264496368517,0,0.0860345924760644,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0543424247498288,0,0.123851882794905,0.0608594390733853,1,0.0050753421342246,0,0.0024939667320676,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.055675970460295,0,0.100321695318031,0.0370354258549066,1,0.0053068440712175,0,0.0019591099362911,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0580208397144377,0.0580208397144377,0.166102125617296,0.10182983089927,1,0.164816948286476,0,0.101041945796737,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0590098386333177,0.0590098386333178,0.141499261854834,0.0738154482676049,1,0.0659909733334729,0,0.0344252910889617,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0590917985379145,0.0590917985379145,0.112482237222261,0.0524292205719319,1,0.0490262076440618,0,0.0228516601185377,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0616528766560881,0,0.120676292054787,0.0542037678479419,1,0.0047178726600841,0,0.0021191111364878,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0620393864663912,0,0.21510016696791,0.0749863082068686,1,3.98506294073e-05,0,1.38923721962e-05,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0623238943802195,0.0623238943802195,0.106533652082123,0.0395358219949211,1,0.0923148325020525,0,0.0342590600618728,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0627152882815356,0.0627152882815356,0.139564724616707,0.0759852389579849,1,0.139564724616707,0,0.0759852389579849,0
1,2,4000,0.02,0,0.01,0,0,0,100000000,0.0639245344755783,0,0.194293352517068,0.0867303937485912,1,0.0007084172936716,0,0.0003162296085917,0
