UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,,,,
18,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.110540229,0.137819177,0.07,0.001292929,0.004606835,1.94E-05,0.061633251,0.022644923,0.07,1.94E-05,1.29E-10,1.94E-05,,,,
19,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.095550715,0.113518483,0.07,0.000931219,0.003304787,1.94E-05,0.06298668,0.021029333,0.07,1.94E-05,1.28E-10,1.94E-05,,,,
20,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.090242059,0.099729061,0.07,0.00064698,0.002683301,1.94E-05,0.064410199,0.01894971,0.07,1.94E-05,1.16E-10,1.94E-05,,,,
21,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.098278916,0.113538,0.07,0.000916135,0.003647648,1.94E-05,0.062343497,0.021770135,0.07,1.94E-05,1.42E-10,1.94E-05,,,,
22,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.107792977,0.129873769,0.07,0.001271304,0.003657959,1.94E-05,0.060194668,0.024283788,0.07,1.96E-05,1.40E-06,1.94E-05,,,,
23,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.119731298,0.15069675,0.07,0.001499167,0.004810749,1.94E-05,0.062315733,0.021845249,0.07,1.94E-05,9.46E-11,1.94E-05,,,,
24,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.098708497,0.115463268,0.07,0.001033582,0.003779562,1.94E-05,0.063730438,0.019929704,0.07,2.09E-05,1.46E-05,1.94E-05,,,,
25,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.095404438,0.111619448,0.07,0.000946282,0.003977371,1.94E-05,0.06511894,0.017786875,0.07,1.94E-05,8.08E-11,1.94E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31728E-06,2.09E-05,4.48E-06,4.210740313
1,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.080779124,0.077848037,0.07,0.000755119,0.004101946,1.94E-05,0.065081844,0.017920616,0.07,1.94E-05,1.26E-10,1.94E-05,,,,
2,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.080561567,0.077813319,0.07,0.000562485,0.00275673,1.94E-05,0.063701612,0.020019433,0.07,1.94E-05,1.25E-10,1.94E-05,,,,
3,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.080752723,0.075312225,0.07,0.000311904,0.002676024,1.94E-05,0.068637588,0.009541131,0.07,1.94E-05,4.29E-11,1.94E-05,,,,
4,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074099807,0.04296996,0.07,0.000349341,0.001701928,1.94E-05,0.065786123,0.016674558,0.07,1.94E-05,1.24E-10,1.94E-05,,,,
5,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.073645482,0.0398583,0.07,0.000184388,0.000660409,1.94E-05,0.065815635,0.016560092,0.07,1.94E-05,9.63E-11,1.94E-05,,,,
6,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079681379,0.067865938,0.07,0.000390158,0.002239709,1.94E-05,0.067195552,0.013736852,0.07,1.94E-05,8.05E-11,1.94E-05,,,,
7,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075282513,0.053280802,0.07,0.00030085,0.001940829,1.94E-05,0.067191291,0.013757628,0.07,1.94E-05,8.43E-11,1.94E-05,,,,
8,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.081058211,0.077693658,0.07,0.000579883,0.003383981,1.94E-05,0.066488659,0.015302334,0.07,1.94E-05,1.02E-10,1.94E-05,,,,
9,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.069882253,0.002680636,0.07,0.000261163,0.000972841,1.94E-05,0.06577772,0.016707733,0.07,1.94E-05,1.41E-10,1.94E-05,,,,
10,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.081966792,0.08659502,0.07,0.000297373,0.001469026,1.94E-05,0.065957889,0.016071788,0.07,1.94E-05,1.04E-10,1.94E-05,,,,
11,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0741929,0.0459561,0.07,0.000251158,0.001070342,1.94E-05,0.065790976,0.016655422,0.07,1.94E-05,1.03E-10,1.94E-05,,,,
12,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075739613,0.057757101,0.07,0.000353411,0.002791057,1.94E-05,0.067892863,0.011980431,0.07,1.94E-05,7.19E-11,1.94E-05,,,,
13,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074869896,0.051234574,0.07,0.000185022,0.001150786,1.94E-05,0.067897471,0.011954349,0.07,1.94E-05,7.27E-11,1.94E-05,,,,
14,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075167267,0.052098624,0.07,0.000324169,0.001502319,1.94E-05,0.065786353,0.016673631,0.07,1.94E-05,1.12E-10,1.94E-05,,,,
15,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084576396,0.083216581,0.07,0.000852912,0.004357328,1.94E-05,0.065085419,0.017907693,0.07,1.94E-05,1.29E-10,1.94E-05,,,,
16,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084311756,0.083179987,0.07,0.000529503,0.002612643,1.94E-05,0.066494937,0.015275041,0.07,1.94E-05,9.46E-11,1.94E-05,,,,
17,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079527991,0.068486524,0.07,0.000548186,0.003147334,1.94E-05,0.066486821,0.015310316,0.07,1.94E-05,1.03E-10,1.94E-05,,,,
18,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079329837,0.067118967,0.07,0.000437544,0.002748394,1.94E-05,0.067194214,0.013743343,0.07,1.94E-05,7.81E-11,1.94E-05,,,,
19,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074290818,0.045065536,0.07,0.000383391,0.002222542,1.94E-05,0.065784356,0.016681477,0.07,1.94E-05,1.07E-10,1.94E-05,,,,
20,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074710426,0.047520331,0.07,0.000261375,0.001844935,1.94E-05,0.067893386,0.011977463,0.07,1.94E-05,7.14E-11,1.94E-05,,,,
21,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.072178237,0.022372554,0.07,0.000327994,0.001083029,1.94E-05,0.063785729,0.019780467,0.07,1.94E-05,1.53E-10,1.94E-05,,,,
22,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.07381122,0.043108185,0.07,0.000262388,0.000948115,1.94E-05,0.065090339,0.017889901,0.07,1.94E-05,1.15E-10,1.94E-05,,,,
23,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.085917565,0.083841393,0.07,0.000577093,0.003229997,1.94E-05,0.0644656,0.01876869,0.07,1.94E-05,1.05E-10,1.94E-05,,,,
24,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.086277022,0.091688611,0.07,0.000381409,0.001629157,1.94E-05,0.064505535,0.018641091,0.07,1.94E-05,9.53E-11,1.94E-05,,,,
25,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.069942677,0.001683631,0.07,0.000123113,0.00060228,1.94E-05,0.067890686,0.011992807,0.07,1.94E-05,8.63E-11,1.94E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8.50E+00,,,9.12877E-12,1.94E-05,1.23E-11,6.733639948
