UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
23,25,500,300,400000000,10,0.1,10,99225838.7656353,35426662.7171393,98972472.4565871,99227662.8554813,98710207.6618019,98961944.6297304,624423000.670165,732568986.640807
23,25,750,300,400000000,10,0.1,40,98740344.7409829,35690758.7979337,98286562.6282112,98747171.0895072,98437158.036491,98318614.0838413,602102421.01955,661908818.032981
23,25,1000,300,400000000,10,0.1,60,97891362.2852392,36168276.5635663,96993471.9425274,98001227.3418793,97916930.9672052,97179859.7153302,575741604.529859,569681550.194163
24,25,750,300,400000000,10,0.1,40,98740344.7409829,35690758.7979337,98286562.6282112,98747171.0895072,98437158.036491,98318614.0838413,587547373.38991,631953683.055262
24,25,1000,300,400000000,10,0.1,50,97897737.8622512,36160479.991036,96933885.7607486,97959025.0220317,97786365.9301831,97062618.1401975,572152173.513274,567351406.62959
25,25,750,300,400000000,10,0.1,30,98714377.0525337,35694524.068093,98224145.4438637,98719415.3910234,98337592.505939,98253336.0068858,610104624.963227,667306112.261165
25,25,1000,300,400000000,10,0.1,50,97897737.8622512,36160479.991036,96933885.7607486,97959025.0220317,97786365.9301831,97062618.1401975,599542995.745372,629170976.640771
26,25,750,300,400000000,10,0.1,30,98714377.0525337,35694524.068093,98224145.4438637,98719415.3910234,98337592.505939,98253336.0068858,649447730.444741,726625249.431218
26,25,1000,300,400000000,10,0.1,50,97897737.8622512,36160479.991036,96933885.7607486,97959025.0220317,97786365.9301831,97062618.1401975,594898496.921817,614870608.541753
27,25,750,300,400000000,10,0.1,30,98714377.0525337,35694524.068093,98224145.4438637,98719415.3910234,98337592.505939,98253336.0068858,581949735.193857,624529141.758892
27,25,1000,300,400000000,10,0.1,50,97897737.8622512,36160479.991036,96933885.7607486,97959025.0220317,97786365.9301831,97062618.1401975,559788070.904718,558720711.008954
28,25,750,300,400000000,10,0.1,20,98714981.5328444,35712608.1806895,98192460.9448005,98683768.5644143,98222100.0713887,98179611.7425428,576740127.272189,636916392.870951
28,25,1000,300,400000000,10,0.1,40,97891774.6686953,36160154.5656596,96846201.0580889,97903266.4178232,97649050.2785448,96924912.1836732,568309169.977384,552222906.168286
29,25,750,300,400000000,10,0.1,20,98714981.5328444,35712608.1806895,98192460.9448005,98683768.5644143,98222100.0713887,98179611.7425428,593410935.760233,636844413.089604
29,25,1000,300,400000000,10,0.1,40,97891774.6686953,36160154.5656596,96846201.0580889,97903266.4178232,97649050.2785448,96924912.1836732,584722921.526063,599163083.265843
30,25,750,300,400000000,10,0.1,20,98714981.5328444,35712608.1806895,98192460.9448005,98683768.5644143,98222100.0713887,98179611.7425428,563405562.808794,605295560.195455
30,25,1000,300,400000000,10,0.1,40,97891774.6686953,36160154.5656596,96846201.0580889,97903266.4178232,97649050.2785448,96924912.1836732,563813218.739347,556908808.609892
