UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
11,25,750,300,400000000,10,0.1,80,98728375.4604981,35684536.0337835,98380786.5288127,98787912.1082413,98755785.0874052,98470385.3127891,624524019.016282,640572198.215433
11,25,1000,300,400000000,10,0.1,80,97902239.7171688,36166921.3394961,97138503.1510551,98071869.0894989,98157725.3844787,97384908.2296462,595642206.951158,572209366.119141
12,25,250,300,400000000,10,0.1,10,99692530.0944387,35174768.192803,99600545.4340197,99730074.9630528,99667858.7968343,99669538.3175036,677860495.761234,811260760.518001
12,25,500,300,400000000,10,0.1,60,99226288.6200987,35405497.1282607,99034858.3115287,99308142.4427277,99139825.804838,99141378.1763563,684248415.630062,781755233.134836
12,25,750,300,400000000,10,0.1,70,98737483.2546438,35679849.1130137,98365652.3768877,98764833.7783198,98675971.5025191,98418696.0467347,624957734.639245,647843963.402709
12,25,1000,300,400000000,10,0.1,80,97902239.7171688,36166921.3394961,97138503.1510551,98071869.0894989,98157725.3844787,97384908.2296462,594307170.307214,571578364.916549
13,25,500,300,400000000,10,0.1,50,99238612.4425546,35395562.1432087,99037407.9963918,99314513.2723842,99107948.3032158,99136794.3330456,654774909.945638,746476649.809919
13,25,750,300,400000000,10,0.1,70,98737483.2546438,35679849.1130137,98365652.3768877,98764833.7783198,98675971.5025191,98418696.0467347,642791022.560811,679878860.00055
13,25,1000,300,400000000,10,0.1,80,97902239.7171688,36166921.3394961,97138503.1510551,98071869.0894989,98157725.3844787,97384908.2296462,580635692.7943,556882134.273935
14,25,500,300,400000000,10,0.1,50,99238612.4425546,35395562.1432087,99037407.9963918,99314513.2723842,99107948.3032158,99136794.3330456,639677701.282423,722208863.345393
14,25,750,300,400000000,10,0.1,70,98737483.2546438,35679849.1130137,98365652.3768877,98764833.7783198,98675971.5025191,98418696.0467347,618790025.420012,647800149.427465
14,25,1000,300,400000000,10,0.1,80,97902239.7171688,36166921.3394961,97138503.1510551,98071869.0894989,98157725.3844787,97384908.2296462,601376860.185641,577752648.751624
15,25,500,300,400000000,10,0.1,40,99236211.4711789,35395651.2644172,99022733.8317498,99309186.6400805,99070992.8363833,99119347.478866,614096434.98275,688405300.283473
15,25,750,300,400000000,10,0.1,60,98728367.4348459,35686688.3869404,98327632.4510944,98740807.5620681,98589945.3109531,98362725.5643102,609723175.563142,645048819.994312
15,25,1000,300,400000000,10,0.1,70,97896839.4282789,36165850.4485969,97068456.8378747,98032457.4254445,98035568.6124464,97276523.7186424,606030818.817906,595242511.357773
16,25,500,300,400000000,10,0.1,40,99236211.4711789,35395651.2644172,99022733.8317498,99309186.6400805,99070992.8363833,99119347.478866,638584692.82636,711442294.561929
16,25,750,300,400000000,10,0.1,60,98728367.4348459,35686688.3869404,98327632.4510944,98740807.5620681,98589945.3109531,98362725.5643102,622429774.28161,673513214.842212
16,25,1000,300,400000000,10,0.1,70,97896839.4282789,36165850.4485969,97068456.8378747,98032457.4254445,98035568.6124464,97276523.7186424,569465631.661273,543347488.861415
17,25,500,300,400000000,10,0.1,30,99246028.7254238,35402166.3799206,99022556.5317776,99296596.1030064,99006802.6590268,99085713.4148441,705518781.711174,823604640.215846
17,25,750,300,400000000,10,0.1,60,98728367.4348459,35686688.3869404,98327632.4510944,98740807.5620681,98589945.3109531,98362725.5643102,620631360.740683,673836603.259602
